movieId,title,tags
1,Toy Story,"led woody, andy's toy live happily room andy's birthday brings buzz lightyear onto scene. afraid losing place andy's heart, woody plot buzz. circumstance separate buzz woody owner, duo eventually learns put aside differences. animation comedy family jealousy toy boy friendship friend tomhanks timallen donrickles jimvarney wallaceshawn johnlasseter"
10,GoldenEye,james bond must unmask mysterious head janus syndicate prevent leader utilizing goldeneye weapon system inflict devastating revenge britain. adventure action thriller cuba falselyaccused secretidentity computervirus secretbase piercebrosnan seanbean izabellascorupco famkejanssen joedonbaker martincampbell
11,The American President,"widowed u.s. president andrew shepherd, one world's powerful men, anything want -- covets sydney ellen wade, washington lobbyist. shepherd's attempt courting spark wild rumor decimate approval ratings. comedy drama romance whitehouse usapresident newlove widower wildlifeconservation michaeldouglas annettebening michaelj.fox martinsheen annadeaveresmith robreiner"
14,Nixon,"all-star cast power epic look american president richard m. nixon, man carrying fate world shoulder battling self-destructive demand within. spanning troubled boyhood california shocking watergate scandal would end presidency. history drama usapresident presidentialelection watergatescandal biography government anthonyhopkins joanallen powersboothe edharris bobhoskins oliverstone"
15,Cutthroat Island,"morgan adam slave, william shaw, quest recover three portion treasure map. unfortunately, final portion held murderous uncle, dawg. crew skeptical leadership abilities, must complete quest mutiny her. made yet difficult effort british crown end pirate raids. action adventure exoticisland treasure map ship scalp geenadavis matthewmodine franklangella maurychaykin patrickmalahide rennyharlin"
16,Casino,life gambling paradise – la vega – dark mafia underbelly. drama crime poker drugabuse 1970s overdose illegalprostitution robertdeniro sharonstone joepesci jameswoods donrickles martinscorsese
17,Sense and Sensibility,"rich mr. dashwood dies, leaving second wife daughter poor rule inheritance. two daughter titular opposites. drama romance bowling basedonnovel servant countrylife janeausten katewinslet emmathompson hughgrant tomwilkinson alanrickman anglee"
18,Four Rooms,ted bellhop's first night job...and hotel's unusual guest place outrageous predicaments. seems evening's room service serving one unbelievable happening another. crime comedy hotel newyear'seve witch bet hotelroom timroth antoniobanderas jenniferbeals madonna marisatomei allisonanders alexandrerockwell robertrodriguez quentintarantino
19,Ace Ventura: When Nature Calls,"summoned ashram tibet, ace find perilous journey jungle africa find shikaka, missing sacred animal friendly wachati tribe. must accomplish wedding wachati's princess prince warrior wachootoos. ace fails, result vicious tribal war. crime comedy adventure africa indigenous humananimalrelationship bat jimcarrey ianmcneice simoncallow maynardeziashi bobgunton steveoedekerk"
20,Money Train,"vengeful new york transit cop decides steal trainload subway fares; foster brother, fellow cop, try protect him. action comedy crime brotherbrotherrelationship subway newyorkcity newyorksubway trainrobbery wesleysnipes woodyharrelson jenniferlopez robertblake chriscooper josephruben"
21,Get Shorty,"chili palmer miami mobster get sent boss, psychopathic ""bones"" barboni, collect bad debt harry zimm, hollywood producer specializes cheesy horror films. chili meet harry's leading lady, romantic spark fly. pitching life story movie idea, chili learns mobster hollywood producer really different. comedy thriller crime gambling miami basedonnovel job murder johntravolta genehackman renerusso dannydevito dennisfarina barrysonnenfeld"
22,Copycat,agoraphobic psychologist female detective must work together take serial killer copy serial killer past. drama thriller policebrutality psychology policeoperation policeprotection serialkiller sigourneyweaver hollyhunter willpatton williammcnamara harryconnickjr. jonamiel
23,Assassins,"assassin robert rath arrives funeral kill prominent mobster, witness rival hired gun complete job -- grisly results. horrified murder innocent bystanders, rath decides take one last job return civilian life. finding way world contract killing grows ever dangerous rath fall female target becomes marked man himself. action adventure crime thriller competition assassination cia bank cat sylvesterstallone antoniobanderas juliannemoore anatolidavydov musewatson richarddonner"
25,Leaving Las Vegas,"ben sanderson, alcoholic hollywood screenwriter lost everything drinking, arrives la vega drink death. there, meet form uneasy friendship non-interference pact prostitute sera. drama romance individual prostitute alcohol casino loveatfirstsight nicolascage elisabethshue juliansands richardlewis stevenweber mikefiggis"
34,Babe,"babe little pig quite know place world. bunch odd friends, like ferdinand duck think rooster fly dog call mom, babe realizes making become greatest sheep pig time, farmer hogget know it. help sheep dog babe learns pig anything want be. fantasy drama comedy family sheep pig affection piglet heroism christinecavanaugh miriammargolyes dannymann hugoweaving miriamflynn chrisnoonan"
36,Dead Man Walking,justice drama based true story man death row last day form strong relationship nun teach forgiveness give spirituality accompanies execution. susan sarandon oscar best female actress convincing portrayal sister helen prejean. drama prison rape sociallydeprivedfamily penalty deathpenalty susansarandon seanpenn robertprosky raymondj.barry r.leeermey timrobbins
39,Clueless,"shallow, rich socially successful cher top beverly hill high school's pecking scale. seeing matchmaker, cher first coax two teacher dating other. emboldened success, decides give hopelessly klutzy new student tai makeover. tai becomes popular is, cher realizes disapproving ex-stepbrother right misguided -- fall him. comedy drama romance puberty highschool makeamatch spoiledchild gayinterest aliciasilverstone staceydash brittanymurphy paulrudd donaldfaison amyheckerling"
41,Richard III,shakespeare's play transplanted 1930s setting. drama war england shakespeare kidnapping murder king ianmckellen annettebening jimbroadbent kristinscottthomas adriandunbar richardloncraine
44,Mortal Kombat,"nine generation evil sorcerer victorious hand-to-hand battle mortal enemies. win tenth mortal kombat tournament, desolation evil reign multiverse forever. save earth, three warrior must overcome seemingly insurmountable odds, inner demons, superhuman foe action/adventure movie based one popular video game time. action fantasy martialarts monster island gore sorcerer christopherlambert robinshou lindenashby cary-hiroyukitagawa bridgettewilson paulw.s.anderson"
45,To Die For,"susan want work television therefore anything takes, even mean killing husband. dark comedy independent director gu van sant brilliant nicole kidman leading role. fantasy drama comedy thriller adultery winter obsession television newhampshire nicolekidman mattdillon joaquinphoenix caseyaffleck illeanadouglas gusvansant"
47,Se7en,"two homicide detective desperate hunt serial killer whose crime based ""seven deadly sins"" dark haunting film take viewer tortured remains one victim next. seasoned det. sommerset research sin effort get inside killer's mind, novice partner, mills, scoff effort unravel case. crime mystery thriller self-fulfillingprophecy detective s.w.a.t. drugdealer evisceration bradpitt morganfreeman gwynethpaltrow johnc.mcginley kevinspacey davidfincher"
48,Pocahontas,"history come gloriously life disney's epic animated tale love adventure new world. pocahontas native american woman whose father arranged marry village's best warrior. vision tell change coming, soon come face face form capt. john smith. adventure animation drama family cultureclash settler forbiddenlove colony musical irenebedard melgibson davidogdenstiers johnkassir russellmeans mikegabriel ericgoldberg"
50,The Usual Suspects,"held l.a. interrogation room, verbal kint attempt convince fed mythic crime lord, keyser soze, exists, also responsible drawing four partner multi-million dollar heist ended explosion san pedro harbor – leaving survivors. verbal lure interrogator incredible story crime lord's almost supernatural prowess. drama crime thriller law relative theft criminal criminalmastermind stephenbaldwin gabrielbyrne chazzpalminteri kevinpollak petepostlethwaite bryansinger"
57,Home for the Holidays,"losing job, making soon ex-boss, finding daughter plan spend thanksgiving boyfriend, claudia larson face spending holiday family. wonder survive crazy antics. comedy drama romance baltimore thanksgiving familyclan familyconflict generationsconflict hollyhunter robertdowneyjr. annebancroft charlesdurning clairedanes jodiefoster"
60,The Indian in the Cupboard,nine-year-old boy get plastic indian cupboard birthday find involved adventure indian come life befriends him. adventure family fantasy cupboard game puppet parallelworld toycomestolife halscardino litefoot lindsaycrouse richardjenkins rishibhat frankoz
61,Eye for an Eye,"fire brimstone time grieving mother karen mccann take justice hand kangaroo court los angeles fails convict robert doob, monster raped murdered 17-year-old daughter. drama thriller rape gun self-defense grievingparents sallyfield kiefersutherland edharris beverlyd'angelo charlaynewoodard johnschlesinger"
62,Mr. Holland's Opus,"1965, passionate musician glenn holland take day job high school music teacher, convinced small obstacle road true calling: writing historic opus. decade roll composition unwritten generation student inspired teaching, holland must redefine life's purpose. music drama family composer mentor deaf-mute musical apprentice richarddreyfuss glenneheadly jaythomas olympiadukakis williamh.macy stephenherek"
